x_km,bathy,topo
47.5,-856.988590815237,-408.028869374251
47.6,-860.324167355631,-408.24184482819
47.7,-863.368975789997,-408.454820282129
47.8,-865.696388599339,-408.667795736069
47.9,-868.02380140868,-400.42312880867
48,-870.351214218021,-388.277640807758
48.1,-872.678627027362,-376.951596297546
48.2,-875.006039836703,-366.012425014138
48.3,-877.333452646044,-355.073253730731
48.4,-879.660865455385,-338.325336236963
48.5,-881.988278264726,-334.768552668729
48.6,-884.315691074067,-338.154392405689
48.7,-886.643103883408,-341.540232142648
48.8,-889.070509632673,-344.926071879607
48.9,-891.51391443408,-348.311911616566
49,-893.957319235488,-351.970616629271
49.1,-896.400724036896,-360.319947026781
49.2,-898.844128838304,-368.669277424291
49.3,-901.287533639712,-408.696430222469
49.4,-903.73093844112,-440.479377828775
49.5,-906.174343242528,-440.712344326802
49.6,-908.617748043935,-440.945310824829
49.7,-911.061152845343,-441.178277322856
49.8,-913.504557646751,-441.503665455473
49.9,-915.666076332883,-444.399439025946
50,-917.664651844712,-447.295212596419
50.1,-919.663227356541,-450.190986166892
50.2,-921.661802868369,-453.060819856002
50.3,-923.660378380198,-454.901066298659
50.4,-925.658953892028,-456.741312741315
50.5,-927.657529403856,-458.581559183972
50.6,-929.656104915685,-460.252214348582
50.7,-931.654680427514,-450.34972149428
50.8,-933.653255939343,-445.841111865214
50.9,-935.059943117427,-449.081961612086
51,-936.085597972311,-452.322811358958
51.1,-937.111252827196,-455.56366110583
51.2,-938.136907682081,-458.804510852702
51.3,-939.162562536965,-460.512703507544
51.4,-940.18821739185,-455.98208978588
51.5,-941.213872246734,-451.451476064215
51.6,-942.239527101619,-450.916159992464
51.7,-943.265181956504,-456.626672570447
51.8,-944.553695793996,-462.337185148431
51.9,-946.262001345675,-455.002319752747
52,-947.970306897355,-447.455914237321
52.1,-949.678612449034,-442.457659035978
52.2,-951.386918000714,-449.311659335763
52.3,-953.095223552393,-456.165659635548
52.4,-954.803529104072,-463.019659935333
52.5,-956.511834655752,-466.748245663887
52.6,-958.151743882852,-454.866639444929
52.7,-959.672554484195,-442.98503322597
52.8,-961.193365085537,-454.189059972238
52.9,-962.71417568688,-469.759639157229
53,-964.234986288223,-469.752713126207
53.1,-965.755796889565,-469.745787095185
53.2,-967.276607490908,-469.738861064162
53.3,-968.797418092251,-447.829611022399
53.4,-970.053616062322,-441.233853474804
53.5,-971.219497951096,-466.031814947471
53.6,-972.38537983987,-479.184809594449
53.7,-973.551261728643,-469.678139413077
53.8,-974.717143617417,-462.969928374403
53.9,-975.883025506191,-461.83208042072
54,-977.048907394965,-460.694232467037
54.1,-977.596370137875,-456.287597599504
54.2,-977.589444106852,-448.950622069756
54.3,-977.58251807583,-441.613646540007
54.4,-977.575592044808,-434.276671010259
54.5,-977.568666013785,-448.813141885464
54.6,-977.750451930511,-459.74967891969
54.7,-978.007407681443,-458.569944968871
54.8,-978.264363432374,-457.390211018053
54.9,-978.521319183305,-456.210477067234
55,-973.38317243071,-458.415601487899
55.1,-965.987556504972,-462.03704995874
55.2,-962.285961622649,-465.658498429582
55.3,-960.167981335993,-465.041879843948
55.4,-958.050001049338,-460.134292148063
55.5,-955.932020762682,-455.226704452178
55.6,-955.766695055188,-453.057171781481
55.7,-956.479446611313,-452.118898284738
55.8,-957.192198167438,-451.180624787995
55.9,-957.904949723563,-450.242351291252
56,-959.353032135504,-449.304077794509
56.1,-962.704601511171,-448.365804297766
56.2,-966.056170886837,-447.427530801023
56.3,-969.407740262504,-443.617807135872
56.4,-972.75930963817,-439.388772593583
56.5,-977.775757787146,-435.159738051295
56.6,-983.046467395199,-430.930703509006
56.7,-988.022832612529,-441.397084323091
56.8,-988.421878553744,-454.207273415535
56.9,-988.820924494959,-465.504626829946
57,-989.219970436174,-450.984202791446
57.1,-989.619016377388,-435.868329603282
57.2,-990.018062318603,-422.32139195995
57.3,-989.753759885626,-415.717421380074
57.4,-989.369859880384,-409.680098917047
57.5,-988.985959875141,-403.955734277019
57.6,-988.602059869898,-398.100458461902
57.7,-988.218159864656,-391.826340109469
57.8,-987.648782466056,-385.552221757036
57.9,-986.469048515237,-379.664294242614
